id,partner_name,party_type_id,partner_name_ja
668,"ACROMION GAMES LTD",2,
669,"A CROWD OF MONSTERS",2,
671,"ACTALOGIC SOFTWARE SOLUTIONS LTD",2,
677,"ACTION MOBILE",2,
692,"ACTIVISION BLIZZARD",2,
696,"ACTTIL, LLC",2,
711,"ADAN GAMES",2,
728,"ADHOC GAMES",2,
730,"ADIDAS (U.K.) LIMITED",2,
739,"ADMINDE LTD",2,
751,"ADRIAN LAZAR",2,
753,"ADULT SWIM",2,
765,"AEGRESCO LLC",2,
766,"AEIOWU LLC",2,
772,"AF4 STUDIOS, INC.",2,
782,"AGAINST GRAVITY CORP",2,
792,"AGE OF EDGE CORPORATION",2,
797,"AGHARTA STUDIO",2,
801,"AGILE PERCEPTION",2,
807,"A GOOD PLACE GAMES LLC.",2,
812,"AHEARTFULOFGAMES S.L",2,
813,"A.H.J. KIM DESENVOLVIMENTO E LICENCIAMENTO DE JOGOS ELETRONICOS - ME",2,
814,"AHMED SELIM T/A GAMDINE PRODUCTIONS",2,
815,"AHOY SP. Z O.O.",2,
831,"AIRTIGHT GAMES",2,
852,"ALAN ZUCCONI",2,
866,ALCHEMEDIUM,2,
868,"ALCHEMY VR LIMITED",2,
872,"ALDIN DYNAMICS, EHF.",2,
873,"ALEJANDRO MARTIN UGALDE Y OTRO C.B.",2,
878,"ALEXANDER CHRISTOF TRADING AS BLACK BELT GAMES",2,
880,"ALEXANDER THUMM",2,
900,"ALK STUDIOS LTD",2,
908,"ALL CIVILIZED PLANETS E.U.",2,
912,"ALLIANCE MEDIA HOLDINGS INC",2,
919,"ALL OF US DESIGN LIMITED",2,
928,"ALONSO MARTIN COMPANY",2,
930,"ALPHA CRC LIMITED",2,
954,"ALVION INC.",2,株式会社アルヴィオン
965,"AMAZON.COM INC.",2,アマゾン
972,"AMBAR ROJO STUDIOS SA DE CV",2,
974,"AMBER STUDIO SRL",2,
984,"AMNIA INTERACTIVE INC.",2,
1007,"ANCIENTPOWER LLC",2,
1018,"ANDREA FARID MARSILI",2,
1019,"ANDREW CARROLL GAMES, LLC",2,
1024,"ANDREW WHITE",2,
1028,"ANEMONE HUG INTERACTIVE LTD",2,
1033,"ANGLE TECHNOLOGIES",2,
1037,"ANGRY MOB GAMES SRL",2,
1042,"ANIMA GAME STUDIO",2,
1046,"ANIMATOON STUDIO S.L.",2,
1047,"ANIMAX BROADCAST JAPAN INC.",2,株式会社アニマックスブロードキャスト・ジャパン
1051,"ANKAMA GAMES S.A.S",2,
1053,"ANNAPURNA INTERACTIVE",2,
1061,"ANSHAR STUDIOS SPÓLKA AKCYJNA",2,
1069,"ANTHONY GOWLAND",2,
1070,"ANTICTO ESTUDI BINARI LTD",2,
1071,"ANTI-MATTER GAMES LTD.",2,
1074,"ANUMAN INTERACTIVE",2,
1076,"AN.X LTD.",2,
1081,AOL,2,
1083,"AONE GAMES",2,
1089,"APELAB INC",2,
1090,"APE LAW LLC",2,
1098,"APOGEE SOFTWARE, INC.",2,
1109,"APPLICATION SYSTEMS HEIDELBERG SOFTWARE GMBH",2,
1115,"APPSQUARE PTY LTD",2,
1125,"AQUAPLUS CO., LTD",2,株式会社アクアプラス
1128,"AQUIRIS GAME STUDIO, SA",2,
1131,"ARACHNID GAMES",2,
1136,"ARBELOS INTERACTIVE CORPORATION",2,
1137,"ARCADE BADGERS LIMITED",2,
1143,"ARCANE CIRCUS VOF",2,
1145,"ARCATIUM STUDIOS, S.L.",2,
1149,"ARCHIACT INTERACTIVE LTD",2,
1150,"ARCHIVE ENTERTAINMENT",2,
1154,ARCONYX,2,
1163,"AREA EFFECT",2,
1166,"ARENANET, LLC",2,
1180,"ARKANE-STUDIOS SA",2,
1187,"ARKOSOFT SNC",2,
1194,ARMATURE,2,
1195,"ARMATURE STUDIO",2,
